year,period,period_type,period_number,period_order,crop_group,crop_subtype,is_aggregate,region,province,volume_mt,area_ha
1990,Quarter 1,quarter,1,1,Corn,White,0,Region IX,Zamboanga del Sur,10343.0,14990.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region IX,Zamboanga del Sur,29.0,40.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region IX,Zamboanga del Sur,51923.0,14430.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region IX,Zamboanga del Sur,10256.0,4650.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region V,Albay,56.0,60.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region V,Albay,4050.0,4280.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region V,Albay,44740.0,18990.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region V,Albay,3480.0,2560.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region V,Camarines Norte,115.0,140.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region V,Camarines Norte,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region V,Camarines Norte,13067.0,4120.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region V,Camarines Norte,4778.0,2390.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region V,Camarines Sur,13.0,20.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region V,Camarines Sur,14585.0,19980.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region V,Camarines Sur,123747.0,39840.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region V,Camarines Sur,28423.0,18650.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region V,Catanduanes,78.0,260.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region V,Catanduanes,15.0,30.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region V,Catanduanes,2955.0,1850.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region V,Catanduanes,2931.0,3110.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region V,Masbate,3419.0,14560.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region V,Masbate,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region V,Masbate,4113.0,1670.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region V,Masbate,12480.0,10060.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region V,Sorsogon,17.0,70.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region V,Sorsogon,718.0,1940.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region V,Sorsogon,15322.0,5040.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region V,Sorsogon,6063.0,4970.0
1990,Quarter 1,quarter,1,1,Corn,White,0,Region VI,Aklan,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,Region VI,Aklan,30.0,50.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,Region VI,Aklan,21293.0,9130.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,Region VI,Aklan,12283.0,7430.0
